,Price per sqft,Price,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Average_price_per_sq_ft,Andheri,Badlapur,Boisar,Borivali,Chembur,Dahisar,Dombivli,Ghatkopar,Goregaon,Kalyan,Kamothe,Kandivali,Kharghar,Malad,Mira Road,Mulund,Naigaon,Nala Sopara,Panvel,Parle,Powai,Taloja,Thane,Ulwe,Vasai,Virar
213,10416.666666666666,15000000,1440,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,9635.036496350365,13200000,1370,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,7338.5518590998045,7500000,1022,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,9500.0,9500000,1000,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,8522.727272727272,15000000,1760,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,6818.181818181818,7500000,1100,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,8387.09677419355,13000000,1550,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,9671.641791044776,16200000,1675,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,10377.358490566037,11000000,1060,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,10086.95652173913,11600000,1150,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,8358.208955223881,5600000,670,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,8888.888888888889,8000000,900,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,8731.617647058823,9500000,1088,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,5381.333333333333,2018000,375,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
